gene_name,cell_type,region1,region2,ttest_p,wilcoxon_p,ks_p
0610007P14Rik,Granule,0,1,0.024499684920707056,0.464798040673049,0.9900839771558644
0610011F06Rik,Granule,0,1,0.08084032731907495,0.5255985624199628,0.9987856471773647
1110001J03Rik,Astrocytes,0,1,0.10889934000167915,0.4555470090692687,0.9068898996642882
1110001J03Rik,Granule,0,1,0.030461292400873686,0.49017596623761295,0.9809221960116618
1110004F10Rik,Astrocytes,0,1,0.7430991139116493,0.8701689227370771,0.9999999946726418
1110004F10Rik,Granule,0,1,0.08988122474735248,0.344934237478437,0.8860110854621749
1110037F02Rik,Granule,0,1,0.7832393843241697,0.8938573392591777,1.0
1110051M20Rik,Granule,0,1,0.3516929692734083,0.647895224771008,0.9999926266954632
1190002N15Rik,Granule,0,1,0.4386838776056071,0.7867783828539731,0.999996144340459
1500004A13Rik,Granule,0,1,0.9548982476012357,0.8546909227767298,1.0
1500009C09Rik,Astrocytes,0,1,0.000406521570308603,0.03091436657766328,0.057278015129026486
1500009C09Rik,Granule,0,1,6.667519018148967e-08,0.030463531571627817,0.07810107465155189
1500009C09Rik,MLI1,1,3,0.6276302493968027,0.8701039370205232,0.999999974942422
1500009C09Rik,MLI2,1,3,0.40743565621366107,0.3362923011981508,0.8254025459263455
1500009C09Rik,Purkinje,0,1,0.425827768265455,0.6923020341706547,0.5947485115505647
1500011B03Rik,Granule,0,1,0.3782287241140154,0.9371718393314061,0.9999707414681723
1500011K16Rik,Granule,0,1,0.014605506039275198,0.3733606951229027,0.8914426951375136
1500011K16Rik,Oligodendrocytes,0,2,0.700903633594242,0.8310523886653658,0.9999999999921582
1500012F01Rik,Granule,0,1,0.7056823184802691,0.651583668493444,0.9999984369387209
1700020I14Rik,Astrocytes,0,1,0.32478152033381036,0.2848354431136064,0.5922176728994748
1700020I14Rik,Granule,0,1,0.6445244678712674,0.28801271978373355,0.41136234084088075
1700020I14Rik,MLI1,1,3,0.6326705942364319,0.6961490230916871,0.999998893453241
1700020I14Rik,Oligodendrocytes,0,2,0.005410886657424725,0.12793396092040235,0.38254651936098527
1700020I14Rik,Purkinje,0,1,0.7630247189749102,0.6198644947703859,0.9997557935585972
1700021K19Rik,Granule,0,1,0.3138354206384495,0.7887198136430842,0.9999999999981133
1700025G04Rik,Granule,0,1,0.24697629074164046,0.952123595241104,0.9152312765172887
1700025G04Rik,Oligodendrocytes,0,2,0.47900425832550353,0.7069421758209711,0.9999999979874019
1700047M11Rik,Oligodendrocytes,0,2,0.20860760681023519,0.6446463212160255,0.9742242349313626
1810013L24Rik,Oligodendrocytes,0,2,0.9035418789169994,0.7569634568450245,0.9999999999992412
1810037I17Rik,Astrocytes,0,1,0.0017402863871664028,0.05018210669237079,0.11324072407442176
1810037I17Rik,Granule,0,1,0.06985202501033348,0.4628858713892211,0.9878070349029594
1810037I17Rik,MLI1,1,3,0.8624195151041262,0.9529015566253051,0.9999999999999976
1810037I17Rik,Oligodendrocytes,0,2,0.3002402933415182,0.9413398366211088,0.9999845111744987
2010107E04Rik,Astrocytes,0,1,0.43869300685537116,0.6248172060634487,0.9995070351084008
2010107E04Rik,Granule,0,1,0.20587705569881062,0.4477827916310224,0.9596637476549073
2010107E04Rik,Oligodendrocytes,0,2,0.8966843840520471,0.7502613540944989,0.999999999997655
2010107G23Rik,Granule,0,1,0.7810094027877932,0.7288316759435856,0.9999999938716707
2010111I01Rik,Granule,0,1,0.7970151674611424,0.927644067536792,0.9999999074020595
2010111I01Rik,Oligodendrocytes,0,2,0.8969280113427067,0.9397099677056886,1.0
2210016L21Rik,Astrocytes,0,1,0.4364221563250841,0.6714375398764423,0.9999994661652835
2210016L21Rik,Granule,0,1,0.2997405788781256,0.7541057577446882,0.9639951607711402
2210016L21Rik,Oligodendrocytes,0,2,0.8059938815250123,0.7289669133011801,0.9999997909835232
2310022B05Rik,Oligodendrocytes,0,2,0.07179000930186027,0.5480643395158121,0.7670574095925667
2310035C23Rik,Granule,0,1,0.26875510693264343,0.9958952086537243,0.999973273918917
2310036O22Rik,Astrocytes,0,1,0.8337148347159848,0.9304847586409183,0.9999996871452967
2310036O22Rik,Granule,0,1,0.817143264996159,0.4702214640173068,0.9725915305732551
2310036O22Rik,MLI1,1,3,0.3056551931988339,0.4692205438144176,0.9883008117978433
2310036O22Rik,Oligodendrocytes,0,2,0.26304530771775314,0.44033451887043973,0.9784390462973213
2410004B18Rik,Granule,0,1,0.4786320858019961,0.672754256895844,0.9999968992687233
2410015M20Rik,Astrocytes,0,1,0.3233855313633245,0.5070075019114109,0.9574498767468733
2410015M20Rik,Granule,0,1,0.842541639518827,0.7514717118032701,0.999999999993004
2410015M20Rik,Oligodendrocytes,0,2,0.1710487095749831,0.9154210502442547,0.9999232970344175
2410089E03Rik,Granule,0,1,0.5024262678191622,0.8991127416147302,0.9999999994798706
2510002D24Rik,Granule,0,1,0.1609571333645644,0.5947092170184238,0.9997596060322173
2510009E07Rik,Granule,0,1,0.1749818230288942,0.5965945230476094,0.9998939237132568
2610001J05Rik,Granule,0,1,0.4138646884285865,0.7340213281869815,0.9999998436916829
2610001J05Rik,Oligodendrocytes,0,2,0.26042015468747887,0.6328229613180466,0.9999948112807469
2610002J02Rik,Granule,0,1,0.5866023083550478,0.9838649523646051,0.9999829889524294
2610035D17Rik,Astrocytes,0,2,0.1442373972468652,0.7444398887578201,0.9851524215109934
2610035D17Rik,Oligodendrocytes,0,2,0.6690333910934523,0.6984092320746784,0.9999999845547224
2610037D02Rik,Granule,0,1,0.00746018282782385,0.5572972631483143,0.9994739578825966
2610203C20Rik,Astrocytes,0,1,0.00011735601854135201,0.028834766723951438,0.07808070185155981
2610203C20Rik,Astrocytes,0,2,0.1961355199686601,0.8368832658855409,0.8016380355002989
2610203C20Rik,Astrocytes,1,2,3.7308284983667608e-06,0.04177894181201202,0.10218502722263795
2610203C20Rik,Oligodendrocytes,0,2,0.03408917297614562,0.4515235768385123,0.8463615504721633
2610507B11Rik,Granule,0,1,0.5044287142432815,0.6999317983603444,0.9999986228413732
2700060E02Rik,Granule,0,1,0.796932307043526,0.8574601720336528,1.0
2700060E02Rik,Oligodendrocytes,0,2,0.9562206423133583,0.8404041190159149,1.0
2810428I15Rik,Granule,0,1,0.6248870275090294,0.8464557808421388,0.9999999794301841
2810468N07Rik,Oligodendrocytes,0,2,0.3054858155934936,0.9518769214798496,0.9931460634047435
2900011O08Rik,Granule,0,1,0.25560128064325266,0.6920342178967771,0.9985603707450089
3632451O06Rik,Granule,0,1,0.24500899670354595,0.588702761133127,0.9999077052308147
4632415L05Rik,Granule,0,1,0.012350019044100066,0.4756186867319543,0.9903887866816787
4833439L19Rik,Granule,0,1,0.3504730370184218,0.6448092492004944,0.9999926266954632
4930402H24Rik,Astrocytes,0,1,7.878275690304995e-06,0.002792865357114408,0.004392759067488136
