gene_name,cell_type,region1,region2,ttest_p,wilcoxon_p,ks_p
1500009C09Rik,Granule,0,1,6.667519018148967e-08,0.030463531571627817,0.07810107465155189
2610203C20Rik,Astrocytes,1,2,3.7308284983667608e-06,0.04177894181201202,0.10218502722263795
Ablim2,Astrocytes,1,2,5.254027636372543e-08,0.02683566121548724,0.020628730145703943
Abr,Granule,0,1,4.460709388811331e-07,0.11222596438162188,0.35802922529319403
Actb,Astrocytes,0,1,3.503136955888823e-10,1.188405747883918e-09,8.937094296270367e-12
Actb,Astrocytes,1,2,7.912657194594952e-07,1.0932158446490202e-07,2.0289674453095216e-11
Adgrl3,Granule,0,1,8.900591083602642e-07,0.14889400764871913,0.40547473772096454
Aldoc,Astrocytes,0,1,5.318914177815598e-21,3.3171655258187134e-19,1.5469384610425806e-18
Aldoc,Astrocytes,1,2,4.394639917468826e-14,2.013684084589707e-12,1.237975192787106e-12
Aldoc,Granule,0,1,8.802692788596046e-41,1.9152414047248379e-22,1.952842756389036e-23
Aldoc,Granule,1,2,2.2194861658624252e-08,1.3788595243739232e-08,4.6928254135087015e-09
Aldoc,MLI1,1,3,9.750348459756591e-14,1.0025363532831838e-10,2.2038570454338083e-11
Anks1b,Oligodendrocytes,0,2,3.645828624533021e-06,0.00461161284358118,0.007458407673338473
Apod,Oligodendrocytes,0,2,1.4794776091084365e-06,7.673745482301753e-06,4.5725549248678826e-07
Apoe,Astrocytes,0,2,2.314563820190317e-08,8.810982211859036e-08,3.830615850462738e-08
Arap2,Granule,0,1,1.8923772506784323e-07,0.16018180176547603,0.4928876552608153
Atl2,Granule,0,1,1.135183722153042e-06,0.08924038730314116,0.2720692368630905
Atp1a1,Oligodendrocytes,0,2,3.5334138354568004e-06,0.007932604162968893,0.01712314800852844
Atp1b1,Astrocytes,0,1,2.962752023067628e-09,5.629154818389906e-07,6.526962470955512e-08
Atp1b1,Astrocytes,1,2,2.8735191727945236e-10,4.454293979068654e-08,1.9652130251985533e-09
Atp1b1,Granule,0,1,1.9035439821796516e-06,8.675573332591794e-05,2.855545316309617e-05
Atp2a2,Astrocytes,0,1,2.4396010049214157e-06,0.0008528887192340533,0.0014578906042378669
Atp2a2,Granule,0,1,8.972025044121005e-09,0.00028103964894019424,0.00013786081081966115
Atp5b,Granule,0,1,3.847268895311668e-06,2.1207956137682804e-05,1.3556128550836964e-05
Atrx,Purkinje,0,1,4.89760763653553e-07,0.005688134591430905,0.0036674690010674487
Calb1,Astrocytes,0,1,3.599474153266228e-17,3.0257134824565527e-10,5.615649744452456e-12
Calb1,Granule,0,1,2.479405656041053e-84,3.990351911986572e-09,2.6754409946456e-10
Calm1,Astrocytes,1,2,1.8789519146337724e-14,9.546112227425702e-13,6.384618683533144e-16
Calm1,Oligodendrocytes,0,2,3.467386001288258e-09,1.9170964111652437e-08,2.8094868882411248e-11
Calm2,Astrocytes,0,2,1.6810056347798234e-09,7.216449463842259e-06,5.8644278026994205e-06
Calm2,Astrocytes,1,2,3.6110776183794336e-18,8.879537731736768e-13,1.2396445221696334e-14
Car8,Astrocytes,0,1,1.915536189638232e-22,4.302789416932335e-14,7.378024855936703e-17
Car8,Granule,0,1,8.219462650079886e-62,1.5131935272345582e-09,4.994407920054134e-11
Chchd2,Astrocytes,0,1,8.18681047623987e-08,7.177457375667208e-05,5.72866316282941e-05
Ckb,Astrocytes,0,1,8.823972221236004e-20,5.229105693715778e-18,7.312788632402768e-17
Ckb,Astrocytes,1,2,1.1247499833730383e-20,2.0484281011116366e-17,5.131914072044384e-22
Ckb,MLI1,1,3,1.4245341722965829e-08,9.296989521466025e-08,3.984542759746565e-06
Cntn1,Astrocytes,1,2,3.5144840078612366e-07,0.015420125312993273,0.012536927901972441
Cpsf3,Granule,0,1,3.979682034889247e-06,0.20598302686996262,0.5783851993984566
Cst3,Astrocytes,0,2,3.1379664861129633e-06,0.00021731430550428233,1.3780897514621422e-05
Cst3,Granule,0,1,3.5003791527275574e-06,4.151253397688678e-06,2.1577940996393034e-07
Ctnnd2,Astrocytes,0,1,3.032220367837398e-06,0.0061144986152438215,0.010896848121265172
